date time lon lat depth
2011-03-15 11:06:15.38 142.425 37.17 20.5

2011-03-15 18:29:10.78 143.56 37.638 19.1

2011-03-15 20:14:32.94 143.499 37.719 18.2

2011-03-15 22:37:14.81 144.224 37.459 15.0

2011-03-16 08:17:07.12 143.59 37.317 10.8

2011-03-16 20:44:41.95 143.662 37.363 15.0

2011-03-16 22:03:19.40 143.462 37.624 26.4

2011-03-16 22:07:51.52 144.184 38.844 15.0

2011-03-16 22:14:49.45 144.232 38.846 10.7

2011-03-17 06:12:42.18 143.47 37.734 21.8

2011-03-17 17:31:52.68 143.402 37.697 12.1

2011-03-17 18:55:35.03 142.366 37.121 15.0

2011-03-18 02:47:47.30 141.836 37.184 33.2

2011-03-18 03:23:55.44 143.562 37.739 17.5

2011-03-18 18:32:46.42 142.387 39.153 25.0

2011-03-18 21:09:33.73 145.022 37.524 10.8

2011-03-20 17:08:54.88 143.89 37.176 16.9

2011-03-20 20:17:56.98 141.945 36.923 34.1

2011-03-21 16:46:57.98 142.316 37.739 23.3

2011-03-21 19:01:16.80 143.22 36.747 18.3

2011-03-22 07:18:44.46 144.18 37.204 6.2

2011-03-22 12:01:22.36 143.345 36.842 10.9

2011-03-22 12:56:24.13 144.037 37.087 19.3

2011-03-22 15:49:26.75 142.364 39.204 24.1

2011-03-23 13:56:28.09 142.811 37.646 38.1

2011-03-24 19:17:17.19 143.609 38.036 15.0

2011-03-26 12:52:50.45 143.334 36.958 16.8

2011-03-27 13:41:34.57 142.327 38.96 37.9

2011-03-28 06:13:36.52 144.764 38.112 15.0

2011-03-29 10:54:33.89 142.354 37.418 19.1

2011-03-30 02:50:10.88 143.598 37.947 20.0

2011-03-31 19:35:03.58 142.328 37.688 27.7

2011-04-02 04:08:08.05 141.989 38.786 42.0

2011-04-03 03:09:10.61 142.106 36.834 27.8

2011-04-03 07:38:46.38 141.469 37.673 58.5

2011-04-06 13:54:51.62 141.467 37.648 54.2

2011-04-07 14:32:45.16 141.684 38.233 59.6

2011-04-09 01:25:28.14 142.097 36.797 28.9

2011-04-14 10:32:34.54 143.377 39.699 29.6

2011-04-15 13:00:17.89 144.726 38.684 15.0

2011-04-15 14:34:24.24 142.343 39.147 23.0

2011-04-15 21:10:36.07 142.45 37.272 15.3

2011-04-19 04:04:30.34 143.506 37.234 15.0

2011-04-21 03:08:36.08 142.271 37.28 15.0

2011-04-22 16:27:37.63 144.147 37.15 15.8

2011-04-25 09:09:30.93 143.884 37.368 11.1

2011-04-27 21:45:02.82 141.723 38.128 55.7

2011-04-28 09:27:48.21 141.677 37.463 49.4

2011-05-04 08:23:50.12 143.363 37.031 17.0

2011-05-06 18:11:27.90 144.224 38.094 15.0

2011-05-09 20:15:55.36 143.565 37.703 25.4

2011-05-10 07:16:11.14 143.757 37.271 16.0

2011-05-10 08:30:29 143.645 37.785 15.3

2011-05-11 01:20:06.67 143.624 37.832 23.4

2011-05-14 23:50:48.91 141.414 37.692 53.8

2011-05-18 17:15:53.23 144.405 39.673 15.1

2011-05-19 09:12:46.91 142.714 37.148 29.7

2011-05-23 01:48:51.26 143.68 37.748 18.7

2011-06-03 00:05:01.75 143.934 37.301 20.5

2011-06-08 22:11:16.40 142.355 39.041 38.5

2011-06-09 10:26:06.01 142.202 37.285 21.7

2011-07-07 18:35:42.82 140.925 37.148 54.2

2011-07-12 08:59:57.07 142.01 38.811 34.9

2011-07-12 15:37:24.14 141.941 38.344 50.8

2011-07-21 01:03:29.05 143.518 39.612 18.0

2011-08-19 05:36:34.14 141.662 37.717 58.3

2011-09-08 13:38:12.97 141.899 37.254 36.7

2011-10-02 13:30:13.23 144.511 38.434 24.1

2011-10-11 03:26:11.42 143.492 36.591 25.7

2012-01-12 05:37:28.93 142.518 38.36 39.2

2012-02-28 22:52:38.49 144.157 37.231 15.6

2012-03-14 10:49:24.94 144.827 40.779 12.5

2012-03-18 00:36:30.08 142.209 39.136 48.7

2012-03-25 13:22:41.03 141.639 37.699 55.9

2012-05-08 09:16:32.79 144.694 37.391 18.1

2012-05-15 16:00:45.22 141.893 38.257 58.9

2012-05-20 22:21:01.31 143.68 39.584 20.0

2012-05-29 01:56:01.51 144.771 39.097 16.5

2012-06-22 07:58:42.91 143.557 39.378 24.2

2012-06-28 05:51:51.68 141.033 37.241 61.7

2012-06-30 07:11:46.77 141.826 38.213 62.4

2012-08-29 19:05:12.28 141.814 38.413 60.2

2012-09-20 18:32:11.76 143.33 39.648 38.1

2012-10-03 09:39:59.97 141.863 38.067 50.3

2012-10-14 11:11:33.51 144.339 38.248 13.7

2012-11-23 20:21:29.23 141.732 38.217 57.1

2012-11-24 01:29:59.88 141.743 38.222 54.2

2012-11-30 11:42:57.74 143.637 39.263 23.4

2012-12-07 08:31:14.12 143.845 37.963 28.5

2012-12-08 13:53:37.71 143.918 37.858 29.7

2012-12-09 02:34:16.51 143.622 37.774 15.0

2012-12-09 14:42:14.59 144.019 37.789 15.0

2012-12-09 23:50:31.75 143.805 37.556 14.2

2012-12-10 00:09:50.55 143.792 37.654 18.2

2012-12-10 09:09:32.80 143.623 37.847 18.6

2012-12-14 01:22:02.21 143.647 37.506 17.5

2012-12-14 20:37:17.10 142.409 38.63 38.2

2012-12-15 04:27:02.09 141.231 37.328 59.4

2012-12-15 10:55:22.39 143.758 37.686 17.3

2013-01-02 21:50:48.20 143.693 37.601 17.3

2013-07-10 05:22:14.69 141.519 39.633 79.7

2013-07-18 23:44:12.32 142.135 39.038 44.5

2013-08-04 03:28:51.02 141.715 38.195 56.6

2013-08-09 14:57:25.60 143.649 39.826 22.4

2013-08-20 17:41:19.95 142.66 36.903 17.9

2013-09-18 00:27:45.98 142.204 38.736 38.9

2013-10-25 17:10:17.58 144.705 37.154 17.6

2013-10-27 18:13:07.72 144.569 37.163 30.7

2013-11-03 08:52:54.86 142.647 38.294 24.0

2014-01-04 05:23:00.48 143.266 36.989 19.3

2014-02-05 17:32:13.71 142.329 38.651 41.2

2014-02-10 09:38:03.78 143.484 39.64 26.5

2014-04-02 23:22:48.40 141.678 39.221 60.1

2014-04-05 01:16:19.68 142.349 39.191 38.0

2014-06-08 05:24:29.51 141.66 39.16 65.5

2014-06-14 17:31:41.82 140.987 39.439 94.1

2014-06-27 11:10:38.74 144.111 36.265 14.7

2014-07-11 19:21:59.27 142.455 37.053 10.0

2014-09-10 01:09:36.19 141.814 40.129 64.9

2014-12-28 11:49:44.16 144.429 38.386 15.0

2015-02-17 04:46:39.50 141.961 40.106 51.8

2015-02-20 21:05:54.57 143.511 39.867 17.4

2015-02-22 02:53:43.76 143.531 40.101 17.3

2015-02-26 01:11:22.65 142.069 38.519 35.9

2015-06-11 04:56:32.84 143.283 39.611 18.0

2015-07-09 18:32:51.35 141.397 40.358 87.5

2015-07-23 12:51:47.88 144.785 37.042 24.9

2015-09-03 22:19:33.95 143.173 39.593 27.7

2015-11-05 18:02:55.17 143.502 39.378 22.0

2016-02-19 13:13:51.84 142.202 37.236 19.3

2016-05-02 07:26:49.28 145.01 39.867 12.8

2016-06-10 12:07:02.08 144.626 38.398 27.4

2016-10-24 20:52:17.66 143.845 40.235 15.0

2016-11-09 22:20:40.75 142.151 38.72 44.1

2016-12-11 13:45:18.68 144.111 36.411 16.7

